"constructorId","constructor","constructor_nationality","raceId","constructor_points","constructor_wins","circuitId","race_name","year"
1,"McLaren","British",127,9,0,21,"San Marino Grand Prix",2002
1,"McLaren","British",907,72,0,70,"Austrian Grand Prix",2014
1,"McLaren","British",575,74,6,16,"Japanese Grand Prix",1976
1,"McLaren","British",396,49,2,11,"Hungarian Grand Prix",1987
1,"McLaren","British",23,53,2,6,"Monaco Grand Prix",2008
1,"McLaren","British",286,60,3,27,"Portuguese Grand Prix",1993
1,"McLaren","British",229,16,0,6,"Monaco Grand Prix",1996
1,"McLaren","British",1023,83,0,14,"Italian Grand Prix",2019
1,"McLaren","British",311,58,4,8,"French Grand Prix",1991
1,"McLaren","British",446,83.5,7,10,"German Grand Prix",1984
1,"McLaren","British",535,11,0,34,"French Grand Prix",1978
1,"McLaren","British",259,4,0,21,"San Marino Grand Prix",1994
1,"McLaren","British",628,35,1,70,"Austrian Grand Prix",1972
1,"McLaren","British",1024,89,0,15,"Singapore Grand Prix",2019
1,"McLaren","British",987,28,0,18,"Brazilian Grand Prix",2017
1,"McLaren","British",24,53,2,7,"Canadian Grand Prix",2008
1,"McLaren","British",844,105,1,5,"Turkish Grand Prix",2011
1,"McLaren","British",57,38,0,20,"European Grand Prix",2006
1,"McLaren","British",230,18,0,4,"Spanish Grand Prix",1996
1,"McLaren","British",576,9,1,25,"Argentine Grand Prix",1975
1,"McLaren","British",92,4,0,3,"Bahrain Grand Prix",2004
1,"McLaren","British",908,90,0,9,"British Grand Prix",2014
1,"McLaren","British",988,30,0,24,"Abu Dhabi Grand Prix",2017
1,"McLaren","British",312,67,4,9,"British Grand Prix",1991
1,"McLaren","British",447,92.5,8,70,"Austrian Grand Prix",1984
1,"McLaren","British",376,63,5,7,"Canadian Grand Prix",1988
1,"McLaren","British",25,58,2,8,"French Grand Prix",2008
1,"McLaren","British",515,4,0,43,"United States Grand Prix West",1979
1,"McLaren","British",845,138,1,4,"Spanish Grand Prix",2011
1,"McLaren","British",163,52,2,20,"European Grand Prix",2000
1,"McLaren","British",69,105,0,22,"Japanese Grand Prix",2006
1,"McLaren","British",1026,111,0,22,"Japanese Grand Prix",2019
1,"McLaren","British",909,96,0,10,"German Grand Prix",2014
1,"McLaren","British",331,96,5,13,"Belgian Grand Prix",1990
1,"McLaren","British",471,29,2,40,"Belgian Grand Prix",1982
1,"McLaren","British",516,4,0,45,"Spanish Grand Prix",1979
1,"McLaren","British",536,12,0,38,"British Grand Prix",1978
1,"McLaren","British",26,72,3,9,"British Grand Prix",2008
1,"McLaren","British",358,36,2,6,"Monaco Grand Prix",1989
1,"McLaren","British",578,16,1,30,"South African Grand Prix",1975
1,"McLaren","British",1027,111,0,32,"Mexican Grand Prix",2019
1,"McLaren","British",377,78,6,37,"Detroit Grand Prix",1988
1,"McLaren","British",448,107.5,9,39,"Dutch Grand Prix",1984
1,"McLaren","British",131,33,1,7,"Canadian Grand Prix",2002
1,"McLaren","British",232,26,0,8,"French Grand Prix",1996
1,"McLaren","British",94,5,0,4,"Spanish Grand Prix",2004
1,"McLaren","British",956,32,0,70,"Austrian Grand Prix",2016
1,"McLaren","British",340,109,2,17,"Chinese Grand Prix",2010
1,"McLaren","British",27,86,4,10,"German Grand Prix",2008
1,"McLaren","British",911,105,0,13,"Belgian Grand Prix",2014
1,"McLaren","British",332,109,6,14,"Italian Grand Prix",1990
1,"McLaren","British",457,21,1,13,"Belgian Grand Prix",1983
1,"McLaren","British",493,22,1,70,"Austrian Grand Prix",1981
1,"McLaren","British",1028,121,0,69,"United States Grand Prix",2019
1,"McLaren","British",244,8,0,6,"Monaco Grand Prix",1995
1,"McLaren","British",233,32,0,9,"British Grand Prix",1996
1,"McLaren","British",262,10,0,7,"Canadian Grand Prix",1994
1,"McLaren","British",579,20.5,2,49,"Spanish Grand Prix",1975
1,"McLaren","British",449,116.5,10,14,"Italian Grand Prix",1984
1,"McLaren","British",28,100,5,11,"Hungarian Grand Prix",2008
1,"McLaren","British",132,37,1,20,"European Grand Prix",2002
1,"McLaren","British",601,55,3,70,"Austrian Grand Prix",1974
1,"McLaren","British",1108,59,0,9,"British Grand Prix",2023
1,"McLaren","British",1029,140,0,18,"Brazilian Grand Prix",2019
1,"McLaren","British",957,32,0,9,"British Grand Prix",2016
1,"McLaren","British",968,76,0,24,"Abu Dhabi Grand Prix",2016
1,"McLaren","British",378,93,7,34,"French Grand Prix",1988
1,"McLaren","British",913,111,0,15,"Singapore Grand Prix",2014
1,"McLaren","British",133,37,1,9,"British Grand Prix",2002
1,"McLaren","British",538,12,0,70,"Austrian Grand Prix",1978
1,"McLaren","British",29,113,5,12,"European Grand Prix",2008
1,"McLaren","British",848,206,2,12,"European Grand Prix",2011
1,"McLaren","British",879,378,7,18,"Brazilian Grand Prix",2012
1,"McLaren","British",450,128.5,11,20,"European Grand Prix",1984
1,"McLaren","British",518,8,0,6,"Monaco Grand Prix",1979
1,"McLaren","British",958,38,0,11,"Hungarian Grand Prix",2016
1,"McLaren","British",314,83,5,11,"Hungarian Grand Prix",1991
1,"McLaren","British",292,12,0,4,"Spanish Grand Prix",1992
1,"McLaren","British",560,1,0,18,"Brazilian Grand Prix",1976
1,"McLaren","British",379,102,8,9,"British Grand Prix",1988
1,"McLaren","British",315,99,6,13,"Belgian Grand Prix",1991
1,"McLaren","British",30,119,5,13,"Belgian Grand Prix",2008
1,"McLaren","British",519,8,0,41,"French Grand Prix",1979
1,"McLaren","British",473,38,3,37,"Detroit Grand Prix",1982
1,"McLaren","British",135,49,1,10,"German Grand Prix",2002
1,"McLaren","British",451,143.5,12,27,"Portuguese Grand Prix",1984
1,"McLaren","British",236,41,0,13,"Belgian Grand Prix",1996
1,"McLaren","British",1031,26,0,70,"Austrian Grand Prix",2020
1,"McLaren","British",959,42,0,10,"German Grand Prix",2016
1,"McLaren","British",495,22,1,14,"Italian Grand Prix",1981
1,"McLaren","British",63,71,0,8,"French Grand Prix",2006
1,"McLaren","British",1111,111,0,39,"Dutch Grand Prix",2023
1,"McLaren","British",31,129,5,14,"Italian Grand Prix",2008
1,"McLaren","British",402,76,3,22,"Japanese Grand Prix",1987
1,"McLaren","British",237,45,0,14,"Italian Grand Prix",1996
1,"McLaren","British",380,117,9,10,"German Grand Prix",1988
1,"McLaren","British",428,46,3,20,"German Grand Prix",1985
1,"McLaren","British",851,280,4,11,"Hungarian Grand Prix",2011
1,"McLaren","British",915,143,0,71,"Russian Grand Prix",2014
1,"McLaren","British",316,108,6,14,"Italian Grand Prix",1991
1,"McLaren","British",136,54,1,11,"Hungarian Grand Prix",2002
1,"McLaren","British",581,26.5,2,40,"Belgian Grand Prix",1975
1,"McLaren","British",344,215,4,7,"Canadian Grand Prix",2010
1,"McLaren","British",32,135,5,15,"Singapore Grand Prix",2008
1,"McLaren","British",452,4,0,36,"Brazilian Grand Prix",1983
1,"McLaren","British",403,76,3,29,"Australian Grand Prix",1987
1,"McLaren","British",984,23,0,22,"Japanese Grand Prix",2017
1,"McLaren","British",574,70,6,46,"United States Grand Prix",1976
1,"McLaren","British",1033,41,0,11,"Hungarian Grand Prix",2020
1,"McLaren","British",582,26.5,2,47,"Swedish Grand Prix",1975
1,"McLaren","British",238,45,0,27,"Portuguese Grand Prix",1996
1,"McLaren","British",137,57,1,13,"Belgian Grand Prix",2002
1,"McLaren","British",852,295,4,13,"Belgian Grand Prix",2011
1,"McLaren","British",962,54,0,15,"Singapore Grand Prix",2016
1,"McLaren","British",33,135,5,16,"Japanese Grand Prix",2008
1,"McLaren","British",917,161,0,18,"Brazilian Grand Prix",2014
1,"McLaren","British",1034,51,0,9,"British Grand Prix",2020
1,"McLaren","British",562,9,0,43,"United States Grand Prix West",1976
1,"McLaren","British",362,65,5,34,"French Grand Prix",1989
1,"McLaren","British",1010,0,0,1,"Australian Grand Prix",2019
1,"McLaren","British",453,19,1,43,"United States Grand Prix West",1983
1,"McLaren","British",521,13,0,10,"German Grand Prix",1979
1,"McLaren","British",918,181,0,24,"Abu Dhabi Grand Prix",2014
1,"McLaren","British",317,114,6,27,"Portuguese Grand Prix",1991
1,"McLaren","British",853,325,4,14,"Italian Grand Prix",2011
1,"McLaren","British",381,132,10,11,"Hungarian Grand Prix",1988
1,"McLaren","British",172,143,7,19,"United States Grand Prix",2000
1,"McLaren","British",138,57,1,14,"Italian Grand Prix",2002
1,"McLaren","British",240,4,0,18,"Brazilian Grand Prix",1995
1,"McLaren","British",404,0,0,36,"Brazilian Grand Prix",1986
1,"McLaren","British",963,62,0,2,"Malaysian Grand Prix",2016
1,"McLaren","British",541,15,0,46,"United States Grand Prix",1978
1,"McLaren","British",884,29,0,4,"Spanish Grand Prix",2013
1,"McLaren","British",583,26.5,2,39,"Dutch Grand Prix",1975
1,"McLaren","British",1076,24,0,1,"Australian Grand Prix",2022
1,"McLaren","British",34,145,6,17,"Chinese Grand Prix",2008
1,"McLaren","British",35,151,6,18,"Brazilian Grand Prix",2008
1,"McLaren","British",1036,62,0,4,"Spanish Grand Prix",2020
1,"McLaren","British",139,61,1,19,"United States Grand Prix",2002
1,"McLaren","British",926,0,0,1,"Australian Grand Prix",2015
1,"McLaren","British",584,30.5,2,34,"French Grand Prix",1975
1,"McLaren","British",964,62,0,22,"Japanese Grand Prix",2016
1,"McLaren","British",318,116,6,4,"Spanish Grand Prix",1991
1,"McLaren","British",639,6,0,70,"Austrian Grand Prix",1971
1,"McLaren","British",522,13,0,70,"Austrian Grand Prix",1979
1,"McLaren","British",242,6,0,21,"San Marino Grand Prix",1995
1,"McLaren","British",455,21,1,21,"San Marino Grand Prix",1983
1,"McLaren","British",140,65,1,22,"Japanese Grand Prix",2002
1,"McLaren","British",927,0,0,2,"Malaysian Grand Prix",2015
1,"McLaren","British",269,34,0,27,"Portuguese Grand Prix",1994
1,"McLaren","British",542,15,0,7,"Canadian Grand Prix",1978
1,"McLaren","British",279,44,3,7,"Canadian Grand Prix",1993
1,"McLaren","British",152,66,3,10,"German Grand Prix",2001
1,"McLaren","British",1053,41,0,21,"Emilia Romagna Grand Prix",2021
1,"McLaren","British",383,147,11,14,"Italian Grand Prix",1988
1,"McLaren","British",1078,46,0,79,"Miami Grand Prix",2022
1,"McLaren","British",36,14,0,1,"Australian Grand Prix",2007
1,"McLaren","British",319,132,7,22,"Japanese Grand Prix",1991
1,"McLaren","British",523,13,0,39,"Dutch Grand Prix",1979
1,"McLaren","British",928,0,0,17,"Chinese Grand Prix",2015
1,"McLaren","British",966,74,0,32,"Mexican Grand Prix",2016
1,"McLaren","British",210,20,1,21,"San Marino Grand Prix",1997
1,"McLaren","British",592,22,2,30,"South African Grand Prix",1974
1,"McLaren","British",456,21,1,6,"Monaco Grand Prix",1983
1,"McLaren","British",619,58,3,46,"United States Grand Prix",1973
1,"McLaren","British",252,21,0,27,"Portuguese Grand Prix",1995
1,"McLaren","British",675,0,0,14,"Italian Grand Prix",1968
1,"McLaren","British",942,27,0,69,"United States Grand Prix",2015
1,"McLaren","British",552,34,1,9,"British Grand Prix",1977
1,"McLaren","British",384,157,12,27,"Portuguese Grand Prix",1988
1,"McLaren","British",107,69,1,18,"Brazilian Grand Prix",2004
1,"McLaren","British",38,44,1,3,"Bahrain Grand Prix",2007
1,"McLaren","British",326,54,3,32,"Mexican Grand Prix",1990
1,"McLaren","British",631,47,1,46,"United States Grand Prix",1972
1,"McLaren","British",271,38,0,22,"Japanese Grand Prix",1994
1,"McLaren","British",526,15,0,46,"United States Grand Prix",1979
1,"McLaren","British",1040,106,0,71,"Russian Grand Prix",2020
1,"McLaren","British",524,13,0,14,"Italian Grand Prix",1979
1,"McLaren","British",857,442,5,68,"Indian Grand Prix",2011
1,"McLaren","British",930,0,0,4,"Spanish Grand Prix",2015
1,"McLaren","British",83,105,5,11,"Hungarian Grand Prix",2005
1,"McLaren","British",465,34,1,38,"European Grand Prix",1983
1,"McLaren","British",531,3,0,6,"Monaco Grand Prix",1978
1,"McLaren","British",408,34,2,13,"Belgian Grand Prix",1986
1,"McLaren","British",320,139,8,29,"Australian Grand Prix",1991
1,"McLaren","British",72,9,0,2,"Malaysian Grand Prix",2005
1,"McLaren","British",980,11,0,13,"Belgian Grand Prix",2017
1,"McLaren","British",272,42,0,29,"Australian Grand Prix",1994
1,"McLaren","British",944,27,0,18,"Brazilian Grand Prix",2015
1,"McLaren","British",1082,65,0,7,"Canadian Grand Prix",2022
1,"McLaren","British",39,58,1,4,"Spanish Grand Prix",2007
1,"McLaren","British",144,30,1,21,"San Marino Grand Prix",2001
1,"McLaren","British",1042,124,0,75,"Portuguese Grand Prix",2020
1,"McLaren","British",409,43,2,7,"Canadian Grand Prix",1986
1,"McLaren","British",546,9,0,43,"United States Grand Prix West",1977
1,"McLaren","British",969,0,0,1,"Australian Grand Prix",2017
1,"McLaren","British",525,14,0,7,"Canadian Grand Prix",1979
1,"McLaren","British",213,21,1,7,"Canadian Grand Prix",1997
1,"McLaren","British",282,53,3,10,"German Grand Prix",1993
1,"McLaren","British",895,83,0,22,"Japanese Grand Prix",2013
1,"McLaren","British",458,25,1,37,"Detroit Grand Prix",1983
1,"McLaren","British",587,41,3,70,"Austrian Grand Prix",1975
1,"McLaren","British",970,0,0,17,"Chinese Grand Prix",2017
1,"McLaren","British",342,129,2,6,"Monaco Grand Prix",2010
1,"McLaren","British",459,26,1,7,"Canadian Grand Prix",1983
1,"McLaren","British",386,184,14,22,"Japanese Grand Prix",1988
